age_group,sex,visibile_minority,family_income,main_activity,likely_future_edu,desired_future_edu,obstacles,obstacles_future_edu
15 to 24 years,Male,Not a visible minority,"Less than $25,000",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
15 to 24 years,Male,Not a visible minority,"$100,000 to $124,999",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
25 to 34 years,Female,Visible minority,"$125,000 or more",Going to school,University bachelor's degree,University bachelor's degree,Yes,Financial situation
15 to 24 years,Male,Visible minority,"Less than $25,000",Going to school,University bachelor's degree,"NA",No,"NA"
15 to 24 years,Male,Not a visible minority,"$25,000 to $49,999",Going to school,University bachelor's degree,University bachelor's degree,Yes,Financial situation
15 to 24 years,Male,Not a visible minority,"$50,000 to $74,999",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
15 to 24 years,Male,Not a visible minority,"Less than $25,000",Going to school,High school diploma or graduation equivalency,College or CEGEP,Don't know,"NA"
15 to 24 years,Female,Not a visible minority,"Less than $25,000",Going to school,University bachelor's degree,University Master's degree,Yes,Financial situation
15 to 24 years,Male,Visible minority,"$125,000 or more",Going to school,University bachelor's degree,Ph.D. (university-earned doctorate),No,"NA"
25 to 34 years,Female,Not a visible minority,"Less than $25,000",Going to school,University Master's degree,University Master's degree,No,"NA"
25 to 34 years,Female,Visible minority,"$25,000 to $49,999",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
15 to 24 years,Female,Not a visible minority,"$125,000 or more",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
15 to 24 years,Male,Not a visible minority,"$75,000 to $99,999",Going to school,College or CEGEP,College or CEGEP,No,"NA"
15 to 24 years,Female,Not a visible minority,"$125,000 or more",Going to school,"NA",University bachelor's degree,No,"NA"
15 to 24 years,Male,Visible minority,"$50,000 to $74,999",Going to school,University bachelor's degree,University Master's degree,No,"NA"
15 to 24 years,Female,Not a visible minority,"$75,000 to $99,999",Going to school,College or CEGEP,University Master's degree,Yes,Financial situation
15 to 24 years,Male,Visible minority,"$50,000 to $74,999",Going to school,College or CEGEP,College or CEGEP,No,"NA"
15 to 24 years,Female,Not a visible minority,"$25,000 to $49,999",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
15 to 24 years,Female,Not a visible minority,"$125,000 or more",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
15 to 24 years,Male,Not a visible minority,"Less than $25,000",Going to school,College or CEGEP,College or CEGEP,No,"NA"
15 to 24 years,Male,Not a visible minority,"$75,000 to $99,999",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
15 to 24 years,Female,Not a visible minority,"$50,000 to $74,999",Going to school,College or CEGEP,College or CEGEP,No,"NA"
15 to 24 years,Female,Not a visible minority,"$75,000 to $99,999",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
15 to 24 years,Male,Not a visible minority,"$125,000 or more",Going to school,College or CEGEP,College or CEGEP,No,"NA"
25 to 34 years,Male,Visible minority,"$25,000 to $49,999",Going to school,College or CEGEP,College or CEGEP,No,"NA"
15 to 24 years,Female,Not a visible minority,"$125,000 or more",Going to school,College or CEGEP,College or CEGEP,No,"NA"
55 to 64 years,Female,Not a visible minority,"$50,000 to $74,999",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
25 to 34 years,Female,Not a visible minority,"$125,000 or more",Going to school,Ph.D. (university-earned doctorate),Ph.D. (university-earned doctorate),No,"NA"
15 to 24 years,Male,Not a visible minority,"$75,000 to $99,999",Going to school,University bachelor's degree,University Master's degree,No,"NA"
15 to 24 years,Male,Not a visible minority,"Less than $25,000",Going to school,University bachelor's degree,University Master's degree,No,"NA"
25 to 34 years,Female,Visible minority,"Less than $25,000",Going to school,Ph.D. (university-earned doctorate),Ph.D. (university-earned doctorate),No,"NA"
15 to 24 years,Female,Not a visible minority,"$75,000 to $99,999",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
25 to 34 years,Male,Visible minority,"$25,000 to $49,999",Going to school,University Master's degree,University Master's degree,No,"NA"
15 to 24 years,Male,Visible minority,"$25,000 to $49,999",Going to school,University bachelor's degree,University Master's degree,No,"NA"
15 to 24 years,Female,Not a visible minority,"Less than $25,000",Going to school,University Master's degree,University Master's degree,Yes,Financial situation
15 to 24 years,Male,Not a visible minority,"$125,000 or more",Going to school,"University first professional degree, such as medicine, d...","University first professional degree, such as medicine, d...",No,"NA"
25 to 34 years,Male,Not a visible minority,"Less than $25,000",Going to school,University bachelor's degree,Ph.D. (university-earned doctorate),Yes,Other - Specify
15 to 24 years,Female,Not a visible minority,"$75,000 to $99,999",Going to school,University Master's degree,University Master's degree,No,"NA"
25 to 34 years,Male,Not a visible minority,"$125,000 or more",Going to school,Ph.D. (university-earned doctorate),Ph.D. (university-earned doctorate),No,"NA"
15 to 24 years,Female,Not a visible minority,"$125,000 or more",Going to school,University bachelor's degree,University Master's degree,No,"NA"
15 to 24 years,Female,Not a visible minority,"$50,000 to $74,999",Going to school,"NA",University Master's degree,No,"NA"
25 to 34 years,Female,Not a visible minority,"$50,000 to $74,999",Going to school,University bachelor's degree,University Master's degree,Yes,Financial situation
15 to 24 years,Female,Not a visible minority,"$125,000 or more",Going to school,University Master's degree,University Master's degree,No,"NA"
15 to 24 years,Female,Not a visible minority,"$100,000 to $124,999",Going to school,University bachelor's degree,University Master's degree,Yes,Other - Specify
15 to 24 years,Male,Not a visible minority,"Less than $25,000",Going to school,University Master's degree,University Master's degree,No,"NA"
15 to 24 years,Male,Not a visible minority,"Less than $25,000",Going to school,College or CEGEP,University bachelor's degree,Yes,Financial situation
35 to 44 years,Female,Not a visible minority,"$25,000 to $49,999",Going to school,College or CEGEP,College or CEGEP,Yes,Caring for own children
15 to 24 years,Female,Not a visible minority,"$125,000 or more",Going to school,University bachelor's degree,University Master's degree,No,"NA"
15 to 24 years,Female,Not a visible minority,"$125,000 or more",Going to school,Ph.D. (university-earned doctorate),Ph.D. (university-earned doctorate),Yes,Financial situation
15 to 24 years,Female,Not a visible minority,"$125,000 or more",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
15 to 24 years,Female,Not a visible minority,"$125,000 or more",Going to school,University Master's degree,University Master's degree,Yes,Financial situation
15 to 24 years,Female,Not a visible minority,"$75,000 to $99,999",Going to school,High school diploma or graduation equivalency,University bachelor's degree,Yes,Other - Specify
25 to 34 years,Female,Not a visible minority,"Less than $25,000",Going to school,Ph.D. (university-earned doctorate),Ph.D. (university-earned doctorate),No,"NA"
15 to 24 years,Female,Visible minority,"$25,000 to $49,999",Going to school,University bachelor's degree,University bachelor's degree,Yes,Not able to get into program
15 to 24 years,Male,Not a visible minority,"$125,000 or more",Going to school,High school diploma or graduation equivalency,College or CEGEP,No,"NA"
15 to 24 years,Female,Not a visible minority,"$50,000 to $74,999",Going to school,College or CEGEP,College or CEGEP,No,"NA"
15 to 24 years,Female,Not a visible minority,"$125,000 or more",Going to school,"University first professional degree, such as medicine, d...","University first professional degree, such as medicine, d...",Yes,Other - Specify
35 to 44 years,Female,Not a visible minority,"$50,000 to $74,999",Going to school,College or CEGEP,College or CEGEP,Yes,Other - Specify
15 to 24 years,Female,Not a visible minority,"$125,000 or more",Going to school,Ph.D. (university-earned doctorate),Ph.D. (university-earned doctorate),No,"NA"
15 to 24 years,Female,Visible minority,"$50,000 to $74,999",Going to school,University Master's degree,University Master's degree,No,"NA"
15 to 24 years,Male,Not a visible minority,"$100,000 to $124,999",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
15 to 24 years,Male,Visible minority,"$50,000 to $74,999",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
15 to 24 years,Male,Not a visible minority,"$125,000 or more",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
15 to 24 years,Male,Not a visible minority,"$125,000 or more",Going to school,College or CEGEP,College or CEGEP,No,"NA"
25 to 34 years,Female,Not a visible minority,"$25,000 to $49,999",Going to school,College or CEGEP,College or CEGEP,No,"NA"
15 to 24 years,Female,Not a visible minority,"$50,000 to $74,999",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
15 to 24 years,Female,Not a visible minority,"$100,000 to $124,999",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
25 to 34 years,Female,Not a visible minority,"$75,000 to $99,999",Going to school,University Master's degree,University Master's degree,Yes,Financial situation
35 to 44 years,Female,Visible minority,"$25,000 to $49,999",Going to school,University Master's degree,University Master's degree,No,"NA"
15 to 24 years,Female,Visible minority,"$75,000 to $99,999",Going to school,University bachelor's degree,Ph.D. (university-earned doctorate),No,"NA"
35 to 44 years,Female,Not a visible minority,"Less than $25,000",Going to school,College or CEGEP,College or CEGEP,Yes,Caring for own children
25 to 34 years,Male,Visible minority,"Less than $25,000",Going to school,Ph.D. (university-earned doctorate),Other,No,"NA"
25 to 34 years,Female,Not a visible minority,"$25,000 to $49,999",Going to school,Ph.D. (university-earned doctorate),Ph.D. (university-earned doctorate),No,"NA"
15 to 24 years,Female,Visible minority,"$75,000 to $99,999",Going to school,Non-college/Private/Commercial Certificate/Diploma,College or CEGEP,No,"NA"
15 to 24 years,Male,Not a visible minority,"$50,000 to $74,999",Going to school,College or CEGEP,College or CEGEP,Yes,Other - Specify
